,n_words,n_sentences,n_paragraphs,n_questions,n_links,n_bullets,has_bold,n_images,subject_words,subject_is_question,greeting_has_name,name_beyond_greeting,mentions_company,is_template_3plus
research_signal,0.10546496789386989,0.07498602144011701,-0.016114296813945446,0.1191974509209261,-0.08584036828445876,-0.05602132578800666,-0.2234594999542033,-0.12950292567171767,0.0085049818476315,-0.04435593388446717,0.013632799188755618,-0.08785401844833786,0.09957426200801466,-0.24552251400332886
why_now,0.07324728004391103,0.07193793227075261,0.10474384541844747,-0.05046419608051061,0.09103128940777806,-0.05861375042022446,0.01247353836607534,-0.11299309917687575,0.08980006632920336,0.1069695950306962,0.015584031652396628,0.07338642177748764,-0.11903493504837442,-0.05708630191306637
value_specificity,0.2559502616067198,0.13289304795580903,0.09079791700463904,0.13392727878278923,-0.08044265519991842,0.05477412314348708,-0.10325489545502754,0.004658194694113955,0.01939668151273188,-0.17947065844457324,0.022241216318810448,-0.11579424505989465,0.06680798694092491,-0.06365481421854485
proof_relevance,0.4198599474389903,0.24175158094944516,0.16440525029107939,0.15364208066489302,-0.14444809971170391,-0.06069005189001469,-0.18847314251140232,-0.16022484872867623,0.23517902266517166,-0.07439267942886293,0.1134330320369504,-0.22671638596934804,0.10707394768581874,-0.036255478816401496
pain_hypothesis,0.08554639032197207,0.02956837944570661,-0.0056296075682485515,0.1937909109748571,-0.1100960324688116,0.010326499138896949,-0.10620929885573216,0.001397558727169838,-0.15847298611911378,-0.08587268258830162,0.008972428475056929,-0.09456698156816461,0.12049768912498922,-0.06075741878464931
ask_clarity,0.2290468473835295,0.21233450171826357,0.06584440278587499,0.12317761284814356,-0.009353276971702868,0.031393021935314055,0.010438839632336898,-0.09650529293831299,0.15517723802138672,-0.04149307923037619,0.06920450645819308,-0.01274640717071658,-0.03181476107462713,0.03635525687896629
ask_size,0.3554974065909032,0.25095317922964,0.26872242616746866,-0.15042873968171727,0.0784105047090809,0.010064364699078997,0.039040995488455195,-0.1451759228565728,0.47826939526630907,-0.2576173696211857,0.04715023452460918,-0.141119977785492,-0.18600668564472778,-0.04569384644936832
bespokeness,0.11207726178540373,0.12046694567030629,0.03395415022445289,0.0801459349421881,-0.07320385456573077,-0.01767374480292045,-0.19230577882343888,-0.11903395486455888,0.012707751432676637,-0.08042691673296974,-0.009771633533118138,-0.09980009446039963,0.0511227306874188,-0.31055362316683593
polish,-0.048455503148024374,0.044528280169983975,0.03325342849503645,0.011344201729539358,-0.09694450392448312,-0.02337490328545866,-0.049429828272763265,-0.005441927994539885,-0.018636037651031487,-0.04332190754451008,-0.026083606555634846,-0.06538741356254753,-0.04616233455850413,-0.048055987863129035
economy,-0.4772464191048924,-0.34115921003847954,-0.2918801984984879,-0.01270385311499989,-0.017399715101493157,-0.12257801250877057,0.01337339701040556,0.076269789027624,-0.10015716427041563,0.0331085203323918,-0.047324468525996914,-0.024519500679578903,-0.04995581260541208,0.030931077392402462
peer_tone,-0.18299721057403384,-0.12845172707771993,-0.07926201195976228,0.07905972052770821,-0.08927587066835266,-0.0427531173532683,-0.00536430549646194,-0.018577397979372513,-0.040551302919717105,0.04740253221867612,-0.005898249465114898,0.05829708704095521,0.03127609249184788,-0.06846088150684866
recipient_centricity,-0.07867929269617913,-0.03286336900028067,-0.04672876745918405,0.10840291532826957,-0.05765109491388992,0.004381817341030258,-0.06631551866433906,0.03800009677857051,-0.12725636599896722,-0.02896311413750472,-0.06385017430725204,0.007901718014573905,0.07343358032924305,-0.17666308605207115
